Scopus-10-Analyze-Country

"Your query : (TITLE-ABS-KEY(""Robot"" AND ""Animal husbandry"") AND ( LIMIT-TO ( SUBJAREA,""ENGI"" ) OR LIMIT-TO ( SUBJAREA,""AGRI"" ) OR LIMIT-TO ( SUBJAREA,""COMP"" ) ) )"


Number of results : 10

"COUNTRY/TERRITORY",
"China","53"
"United States","11"
"Russian Federation","10"
"Germany","9"
"India","6"
"Bulgaria","5"
"Turkey","4"
"Australia","2"
"Brazil","2"
"Indonesia","2"
"Ireland","2"
"Netherlands","2"
"South Korea","2"
"Taiwan","2"
"United Kingdom","2"
"Argentina","1"
"Austria","1"
"Belgium","1"
"Canada","1"
"Chile","1"
"Denmark","1"
"Egypt","1"
"Finland","1"
"Iran","1"
"Israel","1"
"Italy","1"
"Japan","1"
"Pakistan","1"
"Paraguay","1"
"Peru","1"
"Poland","1"
"Romania","1"
"Saudi Arabia","1"
"Senegal","1"
"Spain","1"
"Ukraine","1"
"United Arab Emirates","1"
"Uruguay","1"
"Uzbekistan","1"
"Yemen","1"
"Undefined","2"
